Duration(Days),Main Cause,Latitude,Longitude,Severity,Human injury
5,"severe( godavari, dudhaHeavy rain and poorHeavy rain)",13.8493,78.9883,1,60
1,heavy rains,24.0181,68.8677,1,4
1,heavy rains,20.4037,74.4164,1,3
2,heavy rains,16.1464,79.4042,1,8
3,"severe (godavari, manjira, lendi and manya)",23.3997,88.9474,1,5
1,severe(mula-mutha),21.1735,85.3527,1,10
7,heavy rains,27.4268,94.7981,1,4
2,heavy rains,31.806,77.6925,1,10
3,moderate(kolab and indravati),27.094,94.643,1,3
1,heavy rains,17.1335,79.2098,1,10
4,moderate(brahmi and baitarni),26.9607,80.4678,1,5
1,heavy rains,19.9343,80.0385,1,10
2,heavy rains,24.0841,88.5453,1,1
1,moderate(patialwi rivulet),15.811,74.5207,1,10
1,moderate(ghaggar and tangri),24.4457,92.0058,1,10
7,heavy rains,22.8284,71.2868,1,10
5,heavy rains,9.72651,76.423,1,15
1,heavy rains,21.0559,84.7987,1,10
2,severe (flash floods),30.7738,79.8583,1,113
8,severe(flash flooding in palar and mahakamanta),32.6061,76.1481,1,3
6,heavy rains,26.7556,83.0513,1,64
1,severe (flash flooding),26.5321,84.87,1,12
3,moderate(manu and khowai),16.746,79.1214,1,10
7,severe(flooding of all major rivers),14.8405,79.054,1,14
14,severe(all the major rivers),10.4517,78.7843,1,34
1,heavy rains,27.8034,95.3833,1,10
1,heavy rains,22.342,88.9351,1,37
5,heavy rains,20.8681,73.6623,1,14
7,moderate(rapti),25.8418,89.2696,1,10
27,"severe (ganga, yamuHeavy rain and their tributaries)",30.5622,78.5235,1,118
3,heavyh rains,21.5391,73.2201,1,6
16,"severe(ganga , yamuHeavy rain, ken shandrawal, rapti, sarju, gadri and ghagra )",11.8739,75.527,1,216
3,"severe (ganga, yamuHeavy rain and their tributaries)",10.9485,79.0643,1,42
7,"moderate(tiata, torsa, raidak. mansi and dalong)",12.9158,74.9274,1,10
3,"moderate( mansi, mechhi and raidak)",21.3961,73.44,1,10
3,moderate (kajihi),21.9811,73.9596,1,13
5,heavy rains,19.1881,79.2948,1,10
2,heavy rains,20.6258,85.8936,1,10
6,heavy rains,12.1226,75.4747,1,2
1,heavy rains,25.4989,85.8918,1,2
5,heavy rains,21.0247,73.7641,1,1
1,heavy rains,24.6862,89.4002,1,3
5,heavy rains,31.6718,78.4423,1,5
1,heavy rains,21.433,73.0739,1,10
5,severe,20.9765,86.4305,1,4
7,severe,24.1288,80.1999,1,10
7,severe,27.4363,87.0126,1,8
7,severe,17.9836,73.435,1,28
7,severe,16.9772,79.9654,1,10
14,severe,20.9915,86.2759,1,43
7,severe,25.886,83.2115,1,14
28,severe,21.1139,82.5389,1,22
14,severe,28.1973,79.3734,1,52
1,severe,21.7139,73.4733,1,10
7,severe,21.9409,87.9347,1,4
1,severe,11.7804,78.7317,1,45
14,severe,17.4335,82.8115,1,10
7,severe,18.7332,75.2343,1,10
7,severe,10.5443,76.0498,1,6
7,severe,26.5993,94.0245,1,17
7,severe,25.6151,83.6713,1,3
7,severe,19.1719,83.6477,1,10
7,severe,19.1028,72.8816,1,10
7,severe,22.4114,71.3097,1,10
1,heavy rains,20.1943,73.8242,1,10
1,cloud burst,18.1046,81.5288,1,10
1,cloud burst,27.5853,81.5174,1,14
1,heavy rains,32.8864,73.8842,1,2
1,cloud burst,19.73,83.7466,1,10
1,cloud burst,14.1349,79.9324,1,10
1,cloud burst,33.4819,74.2156,1,6
1,severe,26.2558,94.0189,1,1
1,heavy rains,14.945,78.1615,1,10
2,heavy rains,20.0539,81.8601,1,15
7,severe,21.0263,77.5237,1,1
1,heavy rains,22.0231,72.2495,1,1
1,severe,22.6315,88.4871,1,3
1,heavy rains,27.5773,95.263,1,8
1,heavy rains,10.3906,76.3115,1,4
1,heavy rains,20.4525,86.1978,1,6
12,heavy rains,22.6824,70.925,1,17
1,heavy rains,31.2388,76.5268,1,10
3,heavy rains,15.7067,79.878,1,16
1,heavy rains,20.9096,86.4033,1,2
3,heavy rains,24.7214,93.9705,1,17
2,heavy rains,12.725,79.7002,1,6
1,heavy rains,10.762,78.7172,1,10
1,heavy rains,26.4,93.755,1,5
1,"heavy rains, severe",22.1496,110.224,1,12
1,heavy rains,25.2411,90.1201,1,1
1,severe,27.4995,89.7871,1,103
1,heavy rains,16.6523,81.3801,1,4
1,heavy rains,27.0442,94.5503,1,6
1,heavy rains,20.9522,84.4064,1,5
1,severe,20.2249,84.7692,1,6
1,heavy rains,15.3059,74.7271,1,3
1,heavy rains,27.481,93.8215,1,10
1,heavy rains,26.5,85.5,1,12
1,heavy rains,27.629,80.7483,1,10
3,"heavy rains, moderate, severe",26.8177,94.143,1,13
4,heavy rains,22.5263,88.0605,1,16
2,heavy rains,15.7081,78.233,1,6
1,heavy rains,11.4729,77.8452,1,3
2,heavy rains,27.2504,94.6126,1,11
3,severe,26.3166,91.8623,1,312
7,severe,26.6381,93.1226,1,12
1,heavy rains,15.2182,79.4844,1,10
1,heavy rains,30.1895,74.7785,1,10
1,heavy rains,25.5869,86.1983,1,10
1,moderate,33.5267,76.1256,1,10
4,heavy rains,25.965,76.05,1,1
1,heavy rains,16.29,80.055,1,2
1,heavy rains,26.235,92.25,1,10
1,heavy rains,26.73,82.845,1,1
2,heavy rains,25.695,87.75,1,10
1,severe,9.88679,78.4773,1,10
31,severe,10.8365,76.7588,1,27
1,heavy rains,20.7933,85.8723,1,10
1,heavy rains,26.0844,86.1969,1,14
2,heavy rains,27.3624,94.0349,1,8
3,heavy rains,28.5244,80.9261,1,12
4,severe,22.3056,88.3453,1,10
1,heavy rains,26.3755,86.2422,1,3
1,heavy rains,26.5897,92.1815,1,4
2,severe,22.3021,73.9531,1,9
5,severe,20.6511,86.0022,1,26
3,severe,26.5659,92.4354,1,32
8,severe,26.1094,86.557,1,9
1,heavy rains,30.1135,78.8529,1,6
1,heavy rains,19.4398,82.3216,1,9
1,severe,20.9855,82.7962,1,10
1,heavy rains,31.3063,76.8569,1,8
7,severe,26.8031,93.6379,1,91
21,severe,11.8283,78.8042,1,9
1,heavy rains,32.7135,76.6135,1,13
7,severe,21.9781,82.5285,1,33
1,heavy rains,27.387,94.9182,1,10
4,heavy rains,21.2719,84.2495,1,19
21,severe,24.7174,85.9321,1,61
1,heavy rains,27.8115,94.716,1,10
1,heavy rains,20.7752,84.1258,1,10
14,severe,27.3852,79.7586,1,10
7,"heavy rains, severe",26.1795,86.2537,1,10
38,severe,27.6132,94.6542,1,19
7,severe,14.5398,75.0937,1,1
1,heavy rains,32.8353,76.9103,1,1
1,heavy rains,26.4816,82.8434,1,3
2,heavy rains,21.1495,86.7154,1,10
2,heavy rains,25.6339,84.0726,1,10
1,heavy rains,17.4331,80.187,1,1
2,heavy rains,23.6547,89.4296,1,6
14,severe,26.4813,92.0622,1,6
31,severe,26.988,92.926,1,15
2,flash floods,28.886,80.7246,1,3
1,severe,22.0189,71.1117,1,7
1,heavy rains,18.4311,80.713,1,10
7,severe,26.5037,86.5429,1,10
41,severe,30.9339,75.0459,1,15
21,severe,19.1131,72.8962,1,40
1,severe,15.1816,76.4736,1,10
1,flash floods,24.8678,92.8291,1,10
7,severe,26.4375,80.8611,1,10
3,heavy rains,33.8036,76.2592,1,11
12,severe,16.2843,80.6926,1,21
3,heavy rains,26.7553,92.7754,1,10
1,heavy rains,26.7055,78.8703,1,2
2,heavy rains,27.5435,80.6956,1,10
1,heavy rains,22.4257,71.3244,1,10
2,heavy rains,26.0747,92.817,1,2
1,heavy rains,11.3982,77.0504,1,3
1,moderate,24.4696,92.4232,1,4
1,heavy rains,15.733,73.7324,1,8
1,heavy rains,26.6059,92.9592,1,7
1,cloud burst,20.9474,79.1574,1,10
1,cloud burst,20.2047,84.4178,1,5
1,heavy rains,28.3671,81.0334,1,5
1,flash floods,24.707,85.7348,1,5
1,heavy rains,24.3395,87.8328,1,2
5,heavy rains,14.0025,79.4752,1,28
5,heavy rains,16.5216,75.9695,1,16
1,heavy rains,26.9122,94.46,1,10
1,heavy rains,20.5033,86.0449,1,1
2,severe,24.8678,80.7003,1,10
5,heavy rains,13.0242,78.8487,1,10
4,heavy rains,24.9382,92.0974,1,10
2,heavy rains,25.1622,89.7567,1,3
2,heavy rains,27.9917,78.9675,1,10
1,heavy rains,13.407,75.4042,1,10
1,heavy rains,11.054,77.5024,1,10
1,heavy rains,12.5851,79.9572,1,4
1,heavy rains,20.6258,76.6191,1,10
1,heavy rains,31.7869,77.252,1,12
1,"heavy rains, flash flood",27.586,80.6237,1,9
1,heavy rains,31.7821,76.9177,1,24
1,heavy rains,31.7668,77.27,1,1
17,flash floods,20.7866,79.2684,1,6
1,heavy rains,31.5294,77.0555,1,10
17,severe,20.1358,84.4369,1,10
4,severe,10.7214,78.7248,1,30
7,severe,16.2498,80.0422,1,10
1,severe,23.2582,92.8575,1,10
8,severe,26.0363,92.8902,1,70
2,heavy rains,28.2424,76.8263,1,10
12,severe,27.5887,88.4616,1,23
1,heavy rains,22.4615,87.3749,1,6
14,severe,16.4132,80.612,1,80
7,severe,26.5766,73.762,1,10
7,severe,27.4105,92.3599,1,10
7,flash floods,24.7685,85.6883,1,12
14,severe,15.0341,78.7288,1,24
21,severe,17.0009,81.7657,1,220
2,heavy rains,24.0572,86.2554,1,7
2,heavy rains,31.7905,77.3409,1,16
7,heavy rains,22.4404,71.3091,1,6
7,heavy rains,9.49041,76.6811,1,10
7,severe,26.0909,92.9144,1,10
1,heavy rains,33.9398,74.8298,1,10
7,heavy rains,18.8234,75.4418,1,10
7,moderate,16.9874,82.1012,1,1
2,heavy rains,13.8493,78.9883,1,10
1,heavy rains,24.0181,68.8677,1,2
1,heavy rains,20.4037,74.4164,1,10
14,heavy rains,16.1464,79.4042,1,10
3,heavy rains,23.3997,88.9474,1,9
1,heavy rains,21.1735,85.3527,1,3
1,heavy rains,27.4268,94.7981,1,10
1,heavy rains,31.806,77.6925,1,1
1,heavy rains,27.094,94.643,1,1
2,flash floods,17.1335,79.2098,1,18
7,severe,26.9607,80.4678,1,262
7,severe,19.9343,80.0385,1,2
7,severe,24.0841,88.5453,1,10
7,severe,15.811,74.5207,1,1
7,severe,24.4457,92.0058,1,10
14,severe,22.8284,71.2868,1,10
14,severe,9.72651,76.423,1,20
7,severe,21.0559,84.7987,1,3
41,severe,30.7738,79.8583,1,110
7,severe,32.6061,76.1481,1,10
14,severe,26.7556,83.0513,1,23
7,severe,26.5321,84.87,1,10
1,heavy rains,16.746,79.1214,1,6
7,severe,14.8405,79.054,1,25
3,heavy rains,10.4517,78.7843,1,1
3,heavy rains,27.8034,95.3833,1,10
1,incessant rains,22.342,88.9351,1,3
8,heavy rains,20.8681,73.6623,1,10
7,heavy rains,25.8418,89.2696,1,3
1,heavy rains,30.5622,78.5235,1,10
2,heavy rains,21.5391,73.2201,1,9
14,severe,11.8739,75.527,1,9
1,heavy rains,10.9485,79.0643,1,5
1,heavy rains,12.9158,74.9274,1,11
1,heavy rains,21.3961,73.44,1,10
1,heavy rains,21.9811,73.9596,1,2
1,heavy rains,19.1881,79.2948,1,10
1,flash floods,20.6258,85.8936,1,19
1,heay rains,12.1226,75.4747,1,2
14,severe,25.4989,85.8918,1,9
1,heavy rains,21.0247,73.7641,1,4
1,heavy rains,24.6862,89.4002,1,1
1,heavy rains,31.6718,78.4423,1,10
1,heavy rains,21.433,73.0739,1,3
1,heavy rains,20.9765,86.4305,1,1
1,heavy rains,24.1288,80.1999,1,3
14,severe,27.4363,87.0126,1,28
1,heavy rains,17.9836,73.435,1,10
14,severe,16.9772,79.9654,1,19
14,severe,20.9915,86.2759,1,18
6,heavy rains,25.886,83.2115,1,14
1,heavy rains,21.1139,82.5389,1,17
1,heavy rains,28.1973,79.3734,1,10
1,heavy rains,21.7139,73.4733,1,1
7,heavy rains,21.9409,87.9347,1,9
1,heavy rains,11.7804,78.7317,1,10
1,heavy rains,17.4335,82.8115,1,1
1,heavy rains,18.7332,75.2343,1,1
1,heavy rains,10.5443,76.0498,1,1
1,heavy rains,26.5993,94.0245,1,4
1,severe,25.6151,83.6713,1,1
2,heavy rains,19.1719,83.6477,1,10
1,heavy rains,19.1028,72.8816,1,3
14,severe,22.4114,71.3097,1,32
1,"heavy rains, severe",20.1943,73.8242,1,2
4,severe,18.1046,81.5288,1,1
1,flash floods,27.5853,81.5174,1,10
30,severe,32.8864,73.8842,1,3
31,severe,19.73,83.7466,1,8
7,severe,14.1349,79.9324,1,2
31,severe,33.4819,74.2156,1,3
30,severe,26.2558,94.0189,1,5
2,heavy rains,14.945,78.1615,1,2
2,flash floods,20.0539,81.8601,1,10
2,heavy rains,21.0263,77.5237,1,10
3,severe,22.0231,72.2495,1,35
1,flash floods,22.6315,88.4871,1,10
2,heavy rains,27.5773,95.263,1,20
1,heavy rains,10.3906,76.3115,1,1
2,severe,20.4525,86.1978,1,14
7,severe,22.6824,70.925,1,187
5,severe,31.2388,76.5268,1,2
61,severe,15.7067,79.878,1,29
2,heavy rains,20.9096,86.4033,1,10
2,heavy rains,24.7214,93.9705,1,10
1,heavy rains,12.725,79.7002,1,3
1,heavy rains,10.762,78.7172,1,10
7,severe,26.4,93.755,1,10
1,heavy rains/tank burnt,22.1496,110.224,1,53
17,severe,25.2411,90.1201,1,10
30,severe,27.4995,89.7871,1,10
31,severe,16.6523,81.3801,1,12
31,severe,27.0442,94.5503,1,47
30,severe,20.9522,84.4064,1,10
7,severe,20.2249,84.7692,1,1
85,severe,15.3059,74.7271,1,1024
2,heavy rains,27.481,93.8215,1,10
1,cloud burst,26.5,85.5,1,12
7,severe,27.629,80.7483,1,15
5,heavy rains,26.8177,94.143,1,25
14,severe,22.5263,88.0605,1,12
1,cloud burst,15.7081,78.233,1,10
9,incessant rains,11.4729,77.8452,1,10
1,heavy rains,27.2504,94.6126,1,4
1,heavy rains,26.3166,91.8623,1,41
1,heavy rains,26.6381,93.1226,1,10
1,heavy rains,15.2182,79.4844,1,2
1,flash floods,30.1895,74.7785,1,10
1,heavy rains,25.5869,86.1983,1,3
1,heavy rains,33.5267,76.1256,1,10
1,heavy rains,25.965,76.05,1,2
1,heavy rains,16.29,80.055,1,10
1,heavy rains,26.235,92.25,1,10
1,heavy rains,26.73,82.845,1,10
1,heavy rains,25.695,87.75,1,10
3,heavy rains,9.88679,78.4773,1,4
1,heavy rains,10.8365,76.7588,1,10
1,heavy rains,20.7933,85.8723,1,8
1,heavy rains,26.0844,86.1969,1,4
1,heavy rains,27.3624,94.0349,1,1
2,heavy rains,28.5244,80.9261,1,20
1,flash floods,22.3056,88.3453,1,1
2,heavy rains,26.3755,86.2422,1,11
5,heavy rains,26.5897,92.1815,1,5
45,severe,22.3021,73.9531,1,163
1,heavy rains,20.6511,86.0022,1,1
31,severe,26.5659,92.4354,1,4
1,heavy rains,26.1094,86.557,1,10
38,severe,30.1135,78.8529,1,60
31,severe,19.4398,82.3216,1,56
38,severe,20.9855,82.7962,1,40
17,severe,31.3063,76.8569,1,34
31,severe,26.8031,93.6379,1,34
38,severe,11.8283,78.8042,1,109
7,severe,32.7135,76.6135,1,1
7,severe,21.9781,82.5285,1,10
17,severe,27.387,94.9182,1,35
7,flash floods,21.2719,84.2495,1,10
21,severe,24.7174,85.9321,1,24
31,severe,27.8115,94.716,1,167
14,severe,20.7752,84.1258,1,10
1,heavy rains,27.3852,79.7586,1,3
2,heavy rains,26.1795,86.2537,1,17
1,heavy rains,27.6132,94.6542,1,10
7,severe,24.4457,92.0058,1,7
1,heavy rains,22.8284,71.2868,1,1
21,severe,9.72651,76.423,1,130
1,flash floods,21.0559,84.7987,1,40
1,heavy rains,30.7738,79.8583,1,1
1,heavy rains,32.6061,76.1481,1,10
12,flash floods,26.7556,83.0513,1,7
2,severe,26.5321,84.87,1,15
16,severe,16.746,79.1214,1,5
1,flash floods,14.8405,79.054,1,10
1,heavy rains,10.4517,78.7843,1,10
45,severe,27.8034,95.3833,1,38
7,severe,22.342,88.9351,1,32
1,heavy rains,20.8681,73.6623,1,2
1,heavy rains,25.8418,89.2696,1,4
3,severe,30.5622,78.5235,1,20
1,cloud burst,21.5391,73.2201,1,10
1,heavy rains,11.8739,75.527,1,10
1,flash floods,10.9485,79.0643,1,17
1,flash floods,12.9158,74.9274,1,34
1,cloud burst,21.3961,73.44,1,6
7,severe,21.9811,73.9596,1,50
1,heavy rains,19.1881,79.2948,1,5
1,heavy rains,20.6258,85.8936,1,6
4,heavy rains,12.1226,75.4747,1,2
1,heavy rains,25.4989,85.8918,1,10
1,heavy rains,21.0247,73.7641,1,10
3,heavy rains,24.6862,89.4002,1,5
2,heavy rains,31.6718,78.4423,1,2
2,heavy rains,21.433,73.0739,1,4
1,heavy rains,20.9765,86.4305,1,10
1,heavy rains,24.1288,80.1999,1,25
7,flash floods,27.4363,87.0126,1,12
1,heavy rains,17.9836,73.435,1,10
1,heavy rains,16.9772,79.9654,1,10
1,heavy rains,20.9915,86.2759,1,10
1,heavy rains,25.886,83.2115,1,10
1,heavy rains,21.1139,82.5389,1,10
1,heavy rains,28.1973,79.3734,1,6
1,heavy rains,21.7139,73.4733,1,10
1,heavy rains,21.9409,87.9347,1,10
1,heavy rains,11.7804,78.7317,1,2
1,heavy rains,17.4335,82.8115,1,10
2,heavy rains,18.7332,75.2343,1,3
1,heavy rains,10.5443,76.0498,1,1
3,heavy rains,26.5993,94.0245,1,3
1,heavy rains,25.6151,83.6713,1,1
1,heavy rains,19.1719,83.6477,1,1
4,heavy rains,19.1028,72.8816,1,11
2,heavy rains,22.4114,71.3097,1,7
1,heavy rains,20.1943,73.8242,1,8
8,heavy rains,18.1046,81.5288,1,2
1,heavy rains,27.5853,81.5174,1,1
2,heavy rains,32.8864,73.8842,1,5
1,heavy rains,19.73,83.7466,1,10
1,heavy rains,14.1349,79.9324,1,11
1,heavy rains,33.4819,74.2156,1,29
21,severe,26.2558,94.0189,1,15
1,heavy rains,14.945,78.1615,1,5
7,heavy rains,20.0539,81.8601,1,3
1,heavy rains,21.0263,77.5237,1,1
1,heavy rains,22.0231,72.2495,1,1
2,heavy rains,22.6315,88.4871,1,3
1,heavy rains,27.5773,95.263,1,2
2,heavy rains,10.3906,76.3115,1,12
1,heavy rains,20.4525,86.1978,1,12
1,heavy rains,22.6824,70.925,1,1
1,heavy rains,31.2388,76.5268,1,13
7,heavy rains,15.7067,79.878,1,5
1,heavy rains,20.9096,86.4033,1,10
1,heavy rains,24.7214,93.9705,1,10
1,heavy rains,12.725,79.7002,1,1
1,heavy rains,10.762,78.7172,1,5
1,heavy rains,26.4,93.755,1,2
4,flash floods,22.1496,110.224,1,1
1,heavy rains,25.2411,90.1201,1,10
1,heavy rains,27.4995,89.7871,1,5
1,heavy rains,16.6523,81.3801,1,1
38,severe,27.0442,94.5503,1,38
23,severe,20.9522,84.4064,1,57
1,heavy rains,20.2249,84.7692,1,3
1,heavy rains,15.3059,74.7271,1,3
3,heavy rains,27.481,93.8215,1,10
1,flash floods,26.5,85.5,1,10
21,severe,27.629,80.7483,1,7
69,severe,26.8177,94.143,1,611
1,heavy rains,22.5263,88.0605,1,2
2,heavy rains,15.7081,78.233,1,4
1,heavy rains,11.4729,77.8452,1,2
1,heavy rains,27.2504,94.6126,1,10
61,severe,26.3166,91.8623,1,53
1,heavy rains,26.6381,93.1226,1,10
1,heavy rains,15.2182,79.4844,1,10
7,severe,30.1895,74.7785,1,10
31,severe,25.5869,86.1983,1,226
7,severe,33.5267,76.1256,1,16
14,severe,25.965,76.05,1,10
52,severe,16.29,80.055,1,28
7,severe,26.235,92.25,1,10
7,severe,26.73,82.845,1,10
1,heavy rains,25.695,87.75,1,10
7,severe,9.88679,78.4773,1,7
1,heavy rains,10.8365,76.7588,1,1
3,heavy rains,20.7933,85.8723,1,10
1,heavy rains,26.0844,86.1969,1,10
9,severe,27.3624,94.0349,1,53
1,heavy rains,28.5244,80.9261,1,4
1,heavy rains,22.3056,88.3453,1,10
1,heavy rains,26.3755,86.2422,1,10
2,heavy rains,26.5897,92.1815,1,3
1,heavy rains,22.3021,73.9531,1,12
1,flash flood,20.6511,86.0022,1,7
2,heavy rains,26.5659,92.4354,1,2
1,heavy rains,26.1094,86.557,1,1
1,heavy rains,30.1135,78.8529,1,10
1,heavy rains,19.4398,82.3216,1,4
7,"severe, heavy rains",20.9855,82.7962,1,10
1,heavy rains,31.3063,76.8569,1,10
1,heavy rains,26.8031,93.6379,1,1
2,heavy rains,11.8283,78.8042,1,7
7,heavy rains,32.7135,76.6135,1,10
1,heavy rains,21.9781,82.5285,1,10
1,heavy rains,27.387,94.9182,1,10
2,heavy rains,21.2719,84.2495,1,1
1,heavy rains,24.7174,85.9321,1,10
1,heavy rains,27.8115,94.716,1,10
1,heavy rains,20.7752,84.1258,1,10
2,heavy rains,27.3852,79.7586,1,17
1,severe,26.1795,86.2537,1,8
1,heavy rains ,27.6132,94.6542,1,10
1,heavy rains,26.7465,92.4891,1,1
1,heavy rains,18.4473,79.6967,1,2
3,severe,10.2916,78.2616,1,917
7,severe,33.1767,76.4058,1,10
9,severe,10.7121,79.1771,1,10
5,severe,26.9195,93.8747,1,2
2,heavy rains,21.8734,70.7643,1,10
1,heavy rains,26.2074,82.6165,1,10
7,heavy rains,26.8946,93.751,1,2
2,severe,11.8278,78.8554,1,10
1,heavy rains,27.464,95.6068,1,10
2,heavy rains,27.068,93.949,1,10
1,heavy rains,22.8107,80.8349,1,10
1,heavy rains,21.7477,73.4119,1,10
1,heavy rains,25.6099,85.1898,1,10
62,severe,17.6536,80.3401,1,160
1,severe,27.6131,94.9387,1,10
1,heavy rains,21.898,70.9375,1,4
7,severe,22.9061,88.0848,1,10
1,heavy rains,28.1657,79.076,1,10
8,severe,10.489,79.0039,1,5
1,heavy rains,14.3584,75.4408,1,10
1,severe,26.8948,93.3551,1,10
1,heavy rains ,33.3752,75.1439,1,1
31,severe,20.9795,73.783,1,36
7,severe,19.5656,74.5501,1,1
1,heavy rains,12.5238,75.6883,1,10
1,heavy rains,9.39943,76.7275,1,8
14,severe,27.2914,94.1222,1,10
54,severe,25.7354,82.4309,1,118
14,severe,26.0513,94.7655,1,7
7,severe,31.3414,76.6285,1,10
19,severe,17.9,83.3588,1,15
38,severe,21.5427,87.4662,1,4
7,severe,23.4991,91.5736,1,38
1,heavy rains,27.3531,94.3944,1,4
6,severe,20.2969,74.748,1,96
5,heavy rains,11.4575,76.0842,1,12
5,heavy rains,19.1145,83.4825,1,1
5,heavy rains,25.3928,74.3521,1,18
1,heavy rains,24.1511,77.3956,1,3
1,heavy rains,27.0678,94.2459,1,4
3,heavy rains,10.8488,78.8554,1,26
4,heavy rains,21.1495,86.7154,1,2
1,heavy rains,25.6339,84.0726,1,5
1,heavy rains,17.4331,80.187,1,32
1,heavy rains,23.6547,89.4296,1,3
3,heavy rains,26.4813,92.0622,1,21
1,heavy rains,26.988,92.926,1,2
1,heavy rains,28.886,80.7246,1,10
1,heavy rains,22.0189,71.1117,1,10
1,heavy rains,18.4311,80.713,1,15
1,heavy rains,26.5037,86.5429,1,13
1,heavy rains,30.9339,75.0459,1,10
1,heavy rains,19.1131,72.8962,1,10
1,heavy rains,15.1816,76.4736,1,10
6,heavy rains,24.8678,92.8291,1,10
3,heavy rains,26.4375,80.8611,1,7
2,heavy rains,33.8036,76.2592,1,10
4,heavy rains,16.2843,80.6926,1,8
1,heavy rains,26.7553,92.7754,1,10
2,heavy rains,26.7055,78.8703,1,22
2,heavy rains,27.5435,80.6956,1,7
1,heavy rains,22.4257,71.3244,1,21
2,heavy rains,26.0747,92.817,1,10
1,heavy rains,11.3982,77.0504,1,3
1,heavy rains,24.4696,92.4232,1,2
3,heavy rains,15.733,73.7324,1,13
1,heavy rains,26.6059,92.9592,1,8
4,heavy rains,20.9474,79.1574,1,3
1,heavy rains,20.2047,84.4178,1,6
1,heavy rains,28.3671,81.0334,1,2
1,heavy rains,24.707,85.7348,1,11
1,heavy rains,24.3395,87.8328,1,10
3,severe,14.0025,79.4752,1,46
1,heavy rains,16.5216,75.9695,1,1
1,heavy rains,26.9122,94.46,1,10
3,severe,20.5033,86.0449,1,6
1,severe,24.8678,80.7003,1,10
9,severe,13.0242,78.8487,1,9
1,severe,24.9382,92.0974,1,10
1,heavy rains,25.1622,89.7567,1,3
2,heavy rains,27.9917,78.9675,1,2
7,severe,13.407,75.4042,1,3
2,severe,11.054,77.5024,1,10
1,heavy rains,12.5851,79.9572,1,2
1,heavy rains,20.6258,76.6191,1,10
4,heavy rains,31.7869,77.252,1,10
2,severe,27.586,80.6237,1,5
1,heavy rains,31.7821,76.9177,1,10
4,"heavy rains, flash flood",31.7668,77.27,1,77
2,flash flood,20.7866,79.2684,1,159
5,heavy rains,31.5294,77.0555,1,2
4,heavy rains,20.1358,84.4369,1,5
6,severe,10.7214,78.7248,1,90
4,heavy rains,16.2498,80.0422,1,17
1,heavy rains,23.2582,92.8575,1,10
1,heavy rains,26.0363,92.8902,1,37
1,heavy rains,28.2424,76.8263,1,70
14,severe,27.5887,88.4616,1,210
14,heavy rains,22.4615,87.3749,1,62
1,heavy rains,16.4132,80.612,1,10
2,heavy rains,26.5766,73.762,1,1
1,heavy rains,27.4105,92.3599,1,10
2,heavy rains,24.7685,85.6883,1,3
1,heavy rains,15.0341,78.7288,1,4
1,heavy rains,17.0009,81.7657,1,4
7,heavy rains,24.0572,86.2554,1,3
1,heavy rains,31.7905,77.3409,1,1
1,heavy rains,22.4404,71.3091,1,12
3,severe,9.49041,76.6811,1,4
1,heavy rains,26.0909,92.9144,1,10
2,heavy rains,33.9398,74.8298,1,1
3,severe,18.8234,75.4418,1,10
1,heavy rains,16.9874,82.1012,1,1
1,severe,13.8493,78.9883,1,10
1,severe,24.0181,68.8677,1,10
1,severe,20.4037,74.4164,1,10
1,heavy rains,16.1464,79.4042,1,12
1,severe,23.3997,88.9474,1,10
1,heavy rains,21.1735,85.3527,1,16
1,heavy rains,27.4268,94.7981,1,2
5,severe,31.806,77.6925,1,8
1,heavy rains,27.094,94.643,1,10
1,heavy rains,17.1335,79.2098,1,10
1,heavy rains,26.9607,80.4678,1,3
1,heavy rains,19.9343,80.0385,1,9
2,severe flood,24.0841,88.5453,1,15
2,heavy rains,15.811,74.5207,1,21
3,heavy rains,24.4457,92.0058,1,18
1,heavy rains,22.8284,71.2868,1,10
1,heavy rains,9.72651,76.423,1,44
2,heavy rains,21.0559,84.7987,1,10
1,heavy rains,30.7738,79.8583,1,10
1,flash flood,32.6061,76.1481,1,25
1,heavy rains,26.7556,83.0513,1,10
1,heavy rains,26.5321,84.87,1,10
3,heavy rains,16.746,79.1214,1,10
15,severe floods,14.8405,79.054,1,39
19,severe floods,10.4517,78.7843,1,36
1,heavy rains,27.8034,95.3833,1,10
1,heavy rains,22.342,88.9351,1,10
1,severe flood,20.8681,73.6623,1,1
1,heavy rains,25.8418,89.2696,1,10
2,heavy rains,30.5622,78.5235,1,20
6,severe flood,21.5391,73.2201,1,18
32,severe flood,11.8739,75.527,1,15
1,heavy rains,10.9485,79.0643,1,10
1,heavy rains,12.9158,74.9274,1,2
1,heavy rains,21.3961,73.44,1,5
1,heavy rains,21.9811,73.9596,1,10
11,heavy rains,14.5398,75.0937,1,21
1,heavy rains,32.8353,76.9103,1,2
1,heavy rains,26.4816,82.8434,1,2
1,heavy rains,21.1495,86.7154,1,8
1,heavy rains,25.6339,84.0726,1,4
1,heavy rains,17.4331,80.187,1,1
1,heavy rains,23.6547,89.4296,1,10
5,heavy rains,26.4813,92.0622,1,10
1,heavy rains,26.988,92.926,1,10
2,heavy rains,28.886,80.7246,1,2
1,heavy rains,22.0189,71.1117,1,1
1,heavy rains,18.4311,80.713,1,1
3,severe flood,26.5037,86.5429,1,7
